Start_Time,End_Time,Facility_Code,Participant_Code,Status,Reason,Outage_MW,Recovery_Time_Minutes,Description
18/10/2017 07:00:00,18/10/2017 14:30:00,PJRH_GT11,PJRH,Cancelled By Market Participant,Scheduled (Planned),116,4,DBP Outage
5/09/2017 14:00:00,5/09/2017 21:00:00,COLLGAR_WF1,COLLGAR,Approved,Opportunistic Maintenance (Planned),184,0,Maintenance of Circuit Breakers and works on the 33kV incomer cable - coincided with WP Forced Outage. 
6/09/2017 12:00:00,7/09/2017 17:00:00,COLLGAR_WF1,COLLGAR,Approved,Forced,15,,CG 2 - Failed HV termination on Pole N47 - Repair Works
4/09/2017 07:00:00,7/09/2017 17:00:00,COLLGAR_WF1,COLLGAR,Approved,Forced,22,,CG 1 - Failed HV termination on Pole N47
4/09/2017 07:00:00,4/09/2017 11:00:00,COLLGAR_WF1,COLLGAR,Approved,Forced,15,,CG 2 - Failed HV termination on Pole N47
4/09/2017 07:00:00,4/09/2017 07:30:00,COLLGAR_WF1,COLLGAR,Approved,Forced,24,,CG 3 - Bird Strike
9/10/2017 07:30:00,11/10/2017 15:30:00,TESLA_PICTON_G1,TSLA_MGT,Approved,Scheduled (Planned),9.9,0,"Western Power Outage. ENAR: 315356 MPI: 235728.
Requested by David Willey"
15/09/2017 08:00:00,26/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
15/09/2017 08:00:00,26/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
15/09/2017 08:00:00,26/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
15/09/2017 08:00:00,26/09/2017 07:30:00,MELK_G7,MELK,Approved,Forced,55,0,Safety Issues
8/12/2017 20:00:00,14/12/2017 07:30:00,MELK_G7,MELK,Cancelled By Market Participant,Scheduled (Planned),227,48,Pre Summer Outage
1/12/2017 20:00:00,7/12/2017 07:30:00,MELK_G7,MELK,Cancelled By Market Participant,Scheduled (Planned),227,48,Pre Summer Outage
15/09/2017 20:00:00,24/10/2017 07:30:00,MELK_G7,MELK,Approved,Scheduled (Planned),205.9,39,Unit overhaul - Includes dual outage with M5
9/09/2017 11:00:00,9/09/2017 11:00:00,KORL_GT3,KORL,Approved,Forced,16.17,0,FO
9/09/2017 10:00:00,9/09/2017 10:00:00,KORL_GT3,KORL,Approved,Forced,41.16,0,FO
9/09/2017 10:30:00,9/09/2017 10:30:00,KORL_GT3,KORL,Approved,Forced,44.1,0,FO
9/09/2017 10:00:00,9/09/2017 10:00:00,KORL_GT3,KORL,Cancelled By Market Participant,Forced,12.33,0,FO
20/09/2017 06:00:00,20/09/2017 17:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),190,39,Western Power is carrying Landwehr Terminal Maintenance which will result in unavailability 
